iter;tot_exp;exp_01;exp_07;exp_10
197;28920713041.782;9291337714.97425;2676566403.42898;1352312076.73909
198;28909674406.9767;9267462639.26661;2713351973.25552;1371234520.95845
199;28882730148.4115;9301649888.55736;2726903905.33278;1337822811.6319
200;28871484279.0449;9304769051.22545;2768403667.09042;1351429257.79108
201;28872412134.3379;9296139092.47933;2677037957.90548;1350120050.71376
202;28920782171.5785;9268224568.17607;2732693483.40471;1365237753.00432
203;29047198546.8321;9335644768.58596;2718586129.16187;1346382170.58862
204;28844453866.5583;9282468241.22997;2757719879.37961;1353480734.70751
205;28985341498.9404;9289424089.73078;2703358253.70961;1367223789.37345
206;28868064007.2033;9320478320.35612;2714443266.27039;1352198754.99457
207;28879723989.064;9321118359.79552;2699672230.51147;1355043309.66968
208;28928465027.0958;9277404829.34727;2719597259.16684;1363302523.11339
209;28929427578.6552;9315177734.84755;2714575576.68399;1358726928.49538
210;29027700156.108;9272013626.70148;2694984268.64459;1348102164.84838
211;28983658764.6344;9283695791.35133;2793130607.43143;1365758918.93047
212;28934429730.5049;9313116661.46165;2729588896.63517;1374598982.13755
213;29098589506.4784;9311402157.72415;2714444058.00933;1355988808.87261
214;28949045914.7796;9259629323.90993;2687240268.80922;1347530343.04693
215;28903194970.3945;9257606616.29551;2689250504.92173;1360406745.81436
216;28895952496.2497;9297903877.24487;2700897296.23291;1370876446.62391
217;29007095213.244;9281890368.9948;2738261013.19883;1374285210.94535
218;28806429639.2717;9272380233.54589;2748986533.43876;1351374473.12748
219;28889716556.9579;9296573664.64273;2766927723.18827;1377453873.65085
220;28716341612.4421;9300309073.35124;2739004487.05908;1363361665.45062
221;28930778893.8953;9291257124.13521;2725946314.61686;1345136962.31422
222;28995537409.8702;9342183996.03924;2742925542.21293;1356584380.59742
223;29096378398.6796;9324784908.74933;2721620040.84575;1362630983.06034
224;29011021076.7166;9278191787.40215;2763234995.95614;1366377975.81369
225;28892308490.2677;9279085170.8075;2727062582.28772;1370040949.17856
226;28835451727.7453;9290383903.96961;2718746072.4381;1361242664.95788
